phrase_en,phrase_ru,phrase_uz,topic,difficulty
I eat breakfast at 8 AM.,Я ем завтрак в 8 утра.,Men soat 8 da nonushta qilaman.,present_simple,easy
She reads books every evening.,Она читает книги каждый вечер.,U har kech kitob o'qiydi.,present_simple,easy
He drinks water after lunch.,Он пьет воду после обеда.,U tushlikdan keyin suv ichadi.,present_simple,easy
We play games on weekends.,Мы играем в игры по выходным.,Biz dam olish kunlarida o'yin o'ynaymiz.,present_simple,easy
They live in a big house.,Они живут в большом доме.,Ular katta uyda yashaydi.,present_simple,easy
My cat sleeps all day.,Моя кошка спит весь день.,Mening mushukim kun bo'yi uxlaydi.,present_simple,easy
You speak English well.,Ты хорошо говоришь по-английски.,Sen ingliz tilida yaxshi gapirasan.,present_simple,easy
The sun rises in the east.,Солнце встает на востоке.,Quyosh sharqdan chiqadi.,present_simple,easy
Birds fly in the sky.,Птицы летают в небе.,Qushlar osmonda uchadi.,present_simple,easy
Children run in the park.,Дети бегают в парке.,Bolalar parkda yuguradi.,present_simple,easy
I like apples very much.,Я очень люблю яблоки.,Men olma juda yaxshi ko'raman.,present_simple,easy
She cooks dinner every night.,Она готовит ужин каждую ночь.,U har kecha kechki ovqat pishiradi.,present_simple,easy
He watches TV after work.,Он смотрит телевизор после работы.,U ish dan keyin televizor ko'radi.,present_simple,easy
We visit grandparents on Sundays.,Мы посещаем бабушку и дедушку по воскресеньям.,Biz yakshanba kunlari bobomiz va buvimizga boramiz.,present_simple,easy
They dance at parties.,Они танцуют на вечеринках.,Ular ziyofatlarda raqs tushadi.,present_simple,easy
The dog barks at strangers.,Собака лает на незнакомцев.,It begona odamlarga huraydi.,present_simple,easy
You clean your room daily.,Ты убираешь свою комнату ежедневно.,Sen xonangni har kuni tozalaysan.,present_simple,easy
Flowers bloom in spring.,Цветы расцветают весной.,Gullar bahorda ochiladi.,present_simple,easy
Fish swim in the river.,Рыбы плавают в реке.,Baliqlar daryoda suzadi.,present_simple,easy
People walk in the street.,Люди ходят по улице.,Odamlar ko'chada yuradi.,present_simple,easy
I brush my teeth twice a day.,Я чищу зубы два раза в день.,Men tishlarimni kuniga ikki marta yuvaman.,present_simple,easy
She sings songs beautifully.,Она поет песни красиво.,U qo'shiqlarni chiroyli kuylaydi.,present_simple,easy
He rides a bike to school.,Он ездит на велосипеде в школу.,U maktabga velosipedda boradi.,present_simple,easy
We eat dinner at 7 PM.,Мы ужинаем в 7 вечера.,Biz soat 7 da kechki ovqat qilamiz.,present_simple,easy
They study English at home.,Они изучают английский дома.,Ular uyda ingliz tilini o'rganadi.,present_simple,easy
The baby cries when hungry.,Ребенок плачет, когда голоден.,Chaqa och qolganda yig'laydi.,present_simple,easy
You listen to music every morning.,Ты слушаешь музыку каждое утро.,Sen har ertalab musiqa tinglaysan.,present_simple,easy
Rain falls in autumn.,Дождь идет осенью.,Yomg'ir kuzda yog'adi.,present_simple,easy
Cars drive on the road.,Машины ездят по дороге.,Mashinalar yo'lda ketadi.,present_simple,easy
Students write notes in class.,Ученики пишут заметки на уроке.,O'quvchilar darsda yozuvlar yozadi.,present_simple,easy
I drink tea with milk.,Я пью чай с молоком.,Men sutli choy ichaman.,present_simple,easy
She draws pictures for fun.,Она рисует картинки для развлечения.,U quvnoq rasm chizadi.,present_simple,easy
He helps his mother at home.,Он помогает маме дома.,U uyda onasiga yordam beradi.,present_simple,easy
We laugh at funny jokes.,Мы смеемся над смешными шутками.,Biz kulgili hazillarga kulamiz.,present_simple,easy
They climb mountains in summer.,Они поднимаются на горы летом.,Ular yozda tog'larga chiqadi.,present_simple,easy
The clock ticks all night.,Часы тикают всю ночь.,Soatlar tun bo'yi taqillaydi.,present_simple,easy
You open the door quietly.,Ты открываешь дверь тихо.,Sen eshikni jim ochasan.,present_simple,easy
Stars shine at night.,Звезды светят ночью.,Yulduzlar tunda porlaydi.,present_simple,easy
Bees make honey in hives.,Пчелы делают мед в ульях.,Asalar uyada asal yasaydi.,present_simple,easy
Teachers teach lessons daily.,Учителя проводят уроки ежедневно.,O'qituvchilar har kuni dars o'tkazadi.,present_simple,easy
I wear glasses for reading.,Я ношу очки для чтения.,Men o'qish uchun ko'zoynak taqaman.,present_simple,easy
She waters flowers every day.,Она поливает цветы каждый день.,U har kuni gullarni sug'oradi.,present_simple,easy
He throws the ball far.,Он бросает мяч далеко.,U to'pni uzoqqa otadi.,present_simple,easy
We share toys with friends.,Мы делимся игрушками с друзьями.,Biz do'stlarimiz bilan o'yinchoqlar bo'lishamiz.,present_simple,easy
They build sandcastles on the beach.,Они строят замки из песка на пляже.,Ular plyajda qum qal'a quradi.,present_simple,easy
The wind blows leaves in fall.,Ветер дует листья осенью.,Shamol kuzda barglarni esadi.,present_simple,easy
You close the window at night.,Ты закрываешь окно ночью.,Sen tunda derazani yopsan.,present_simple,easy
Trees grow tall in forests.,Деревья растут высокими в лесах.,Daraxtlar o'rmonlarda baland o'sadi.,present_simple,easy
Ants carry food to nests.,Муравьи несут еду в гнезда.,Chumolilar oziq-ovqatni uyalarga olib boradi.,present_simple,easy
Babies sleep in cribs.,Младенцы спят в кроватках.,Chaqa beshikda uxlaydi.,present_simple,easy
I count stars on clear nights.,Я считаю звезды в ясные ночи.,Men tiniq tunlarda yulduzlarni sanab o'taman.,present_simple,easy
She picks apples from trees.,Она собирает яблоки с деревьев.,U daraxtdan olma teradi.,present_simple,easy
He kicks the football hard.,Он сильно бьет по футболу.,U futbol to'pini qattiq tepadi.,present_simple,easy
We paint pictures in art class.,Мы рисуем картинки на уроке искусства.,Biz san'at darsida rasm chizamiz.,present_simple,easy
They hug their pets warmly.,Они обнимают своих питомцев тепло.,Ular uy hayvonlarini iliq quchoqlaydi.,present_simple,easy
The river flows to the sea.,Река течет к морю.,Daryo dengizga oqadi.,present_simple,easy
You feed the birds seeds.,Ты кормишь птиц семенами.,Sen qushlarni urug' bilan boqasan.,present_simple,easy
Clouds move across the sky.,Облака двигаются по небу.,Bulutlar osmon bo'ylab harakatlanadi.,present_simple,easy
Snakes crawl on the ground.,Змеи ползают по земле.,Ilonlar yerda sudraladi.,present_simple,easy
I plant flowers in the garden.,Я сажаю цветы в саду.,Men bog'da gullar ekaman.,present_simple,easy
She jumps rope for exercise.,Она прыгает через скакалку для упражнений.,U sakrash uchun arqon sakraydi.,present_simple,easy
He fixes his bicycle quickly.,Он быстро чинит свой велосипед.,U velosipedini tez tuzatadi.,present_simple,easy
We collect stamps as a hobby.,Мы собираем марки как хобби.,Biz hobbi sifatida markalarni yig'amiz.,present_simple,easy
They whisper secrets to each other.,Они шепчут секреты друг другу.,Ular bir-biriga sirlar pichirlaydi.,present_simple,easy
The moon glows in the dark.,Луна светит в темноте.,Oy qorong'ilikda porlaydi.,present_simple,easy
You pack your bag for school.,Ты пакуешь свою сумку для школы.,Sen maktab uchun sumkangni yig'asan.,present_simple,easy
Frogs jump into ponds.,Лягушки прыгают в пруды.,Qurbaqalar hovuzlarga sakraydi.,present_simple,easy
Elephants trumpet loudly.,Слоны трубят громко.,Filalar baland ovozda karlaydi.,present_simple,easy
I fold my clothes neatly.,Я аккуратно складываю свою одежду.,Men kiyimlarimni tartibli bukiraman.,present_simple,easy
She waves goodbye to friends.,Она машет рукой на прощание друзьям.,U do'stlariga xayr deyib qo'l silkitadi.,present_simple,easy
He scores goals in soccer.,Он забивает голы в футбол.,U futbol o'yinida gol uradi.,present_simple,easy
We bake cookies on holidays.,Мы печем печенье на праздники.,Biz bayramlarda pechen'ye pishiramiz.,present_simple,easy
They chase butterflies in fields.,Они гоняются за бабочками в полях.,Ular dalalarda kapalaklar ortidan quvadi.,present_simple,easy
The fire burns wood brightly.,Огонь ярко сжигает дерево.,Olov yog'ochni yorqin yonadi.,present_simple,easy
You tie your shoes tightly.,Ты крепко завязываешь свои шнурки.,Sen oyoq kiyimingni qattiq bog'laysan.,present_simple,easy
Wolves howl at the full moon.,Волки воют на полную луну.,Bozlar to'lin oyga uvillaydi.,present_simple,easy
Ducks quack in the lake.,Утки крякают в озере.,O'rdaklar ko'lda karraydi.,present_simple,easy
I dream about adventures nightly.,Я мечтаю о приключениях каждую ночь.,Men har kecha sarguzashtlar haqida tush ko'raman.,present_simple,easy
She knits scarves for winter.,Она вяжет шарфы на зиму.,U qish uchun sharf to'qiyadi.,present_simple,easy
He swims laps in the pool.,Он плавает круги в бассейне.,U hovuzda aylanma suzadi.,present_simple,easy
We harvest fruits in fall.,Мы собираем фрукты осенью.,Biz kuzda mevalarni yig'amiz.,present_simple,easy
They paint the fence white.,Они красят забор белым.,Ular devor panjarasini oq ranglaydi.,present_simple,easy
The bell rings for class.,Колокол звонит на урок.,Qo'ng'iroq dars uchun yangraydi.,present_simple,easy
You dust the shelves weekly.,Ты протираешь полки еженедельно.,Sen javonlarni haftada bir marta changlatasan.,present_simple,easy
Horses gallop in meadows.,Лошади скачут по лугам.,Otlar o'tloqlarda yuguradi.,present_simple,easy
Lions roar in the jungle.,Львы рычат в джунглях.,Sherlar o'rmonda g'azablanadi.,present_simple,easy

She usually arrives at the office before nine o'clock.,Она обычно приходит в офис до девяти часов.,U odatda ofisga soat to'qqizdan oldin keladi.,present_simple,medium
My brother enjoys solving complex math problems in his free time.,Мой брат любит решать сложные математические задачи в свободное время.,Akam bo'sh vaqtida murakkab matematika masalalarini yechishni yaxshi ko'radi.,present_simple,medium
The museum exhibits rare artifacts from ancient civilizations every month.,Музей выставляет редкие артефакты из древних цивилизаций каждый месяц.,Muzey har oy qadimiy tsivilizatsiyalardan noyob artefaktlarni namoyish etadi.,present_simple,medium
Workers install new software updates on all computers during the night shift.,Работники устанавливают обновления нового ПО на все компьютеры во время ночной смены.,Ishchilar tungi smenada barcha kompyuterlarga yangi dasturiy ta'minot yangilanishlarini o'rnatadi.,present_simple,medium
Tourists discover hidden gems in the old town while exploring narrow streets.,Туристы открывают скрытые жемчужины в старом городе, исследуя узкие улочки.,Sayyohlar tor ko'chalarni o'rganayotganda eski shahardagi yashirin durdonalarini kashf etadi.,present_simple,medium
The chef prepares exotic dishes using fresh ingredients from local markets.,Шеф-повар готовит экзотические блюда, используя свежие ингредиенты с местных рынков.,Oshpaz mahalliy bozorlardan yangi ingredientlardan foydalanib ekzotik taomlarni tayyorlaydi.,present_simple,medium
Engineers design innovative bridges that withstand strong earthquakes in seismic areas.,Инженеры проектируют инновационные мосты, которые выдерживают сильные землетрясения в сейсмических зонах.,Muhandislar seysmik hududlarda kuchli zilzilalarga bardosh beradigan innovatsion ko'priklarni loyihalashtiradi.,present_simple,medium
Volunteers organize community events to promote environmental awareness annually.,Волонтёры организуют общественные мероприятия для продвижения экологической осведомлённости ежегодно.,Ko'ngillilar har yili ekologik xabardorlikni targ'ib qilish uchun jamoat tadbirlarini tashkil etadi.,present_simple,medium
The library lends digital books to members who prefer reading on tablets.,Библиотека выдаёт цифровые книги членам, которые предпочитают чтение на планшетах.,Kutubxona planshetlarda o'qishni afzal ko'radigan a'zolarga raqamli kitoblarni beradi.,present_simple,medium
Farmers harvest organic vegetables early in the morning to ensure freshness.,Фермеры собирают органические овощи рано утром, чтобы обеспечить свежесть.,Dehqonlar yangilikni ta'minlash uchun ertalab organik sabzavotlarni hosil qiladi.,present_simple,medium
Scientists conduct experiments in the laboratory to test new hypotheses regularly.,Учёные проводят эксперименты в лаборатории, чтобы регулярно тестировать новые гипотезы.,Olmlar yangi gipotezalarni muntazam sinash uchun laboratoriyada tajribalar o'tkazadi.,present_simple,medium
The orchestra performs classical symphonies under the conductor's precise guidance.,Оркестр исполняет классические симфонии под точным руководством дирижёра.,Orkestr dirijyorning aniq rahbarligi ostida klassik simfoniyalarni ijro etadi.,present_simple,medium
Journalists investigate corruption scandals that affect public officials deeply.,Журналисты расследуют коррупционные скандалы, которые глубоко затрагивают общественных чиновников.,Jurnalistlar jamoat amaldorlariga chuqur ta'sir qiladigan korruptsiya janjallarini tergov qiladi.,present_simple,medium
Architects sketch detailed blueprints before constructing modern skyscrapers.,Архитекторы набрасывают детальные чертежи перед строительством современных небоскрёбов.,Arxitektorlar zamonaviy osmono'par binolarni qurishdan oldin batafsil chizmalarni chizadi.,present_simple,medium
The bakery sells freshly baked pastries that attract customers from neighboring towns.,Пекарня продаёт свежие выпеченные пирожные, которые привлекают клиентов из соседних городов.,Nonvoyxona qo'shni shaharlardan mijozlarni jalb qiladigan yangi pishirilgan shirinliklarni sotadi.,present_simple,medium
Pilots navigate through turbulent skies during stormy weather conditions.,Пилоты маневрируют через турбулентные небеса во время штормовой погоды.,Pilotlar bo'ronli ob-havoda g'alati osmonlar orqali yo'nalishni belgilaydi.,present_simple,medium
The gallery displays contemporary art pieces created by emerging artists worldwide.,Галерея выставляет современные произведения искусства, созданные восходящими художниками со всего мира.,Galereya butun dunyodagi yangi paydo bo'lgan rassomlar tomonidan yaratilgan zamonaviy san'at asarlarini namoyish etadi.,present_simple,medium
Mechanics repair vintage cars using specialized tools in their workshop.,Механики ремонтируют винтажные автомобили, используя специализированные инструменты в своей мастерской.,Mexaniklar ustaxonalarida maxsus asbob-uskunalardan foydalanib vintage mashinalarni ta'mirlaydi.,present_simple,medium
The theater stages dramatic plays that explore themes of love and betrayal.,Театр ставит драматические пьесы, которые исследуют темы любви и предательства.,Teatr sevgi va xiyonat mavzularini o'rganadigan dramatik pyesalarni sahnalashtiradi.,present_simple,medium
Economists analyze market trends to predict future economic fluctuations accurately.,Экономисты анализируют рыночные тенденции, чтобы точно предсказывать будущие экономические колебания.,Iqtisodchilar bozor tendentsiyalarini tahlil qilib kelajakdagi iqtisodiy o'zgarishlarni aniq bashorat qiladi.,present_simple,medium
